epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,37.8299,1.05957,1.82226,1.47259,0.74442,0.65,0.85529,0.61925,1.68118,1.23329,1.38556,2.0478e-05,2.0478e-05,2.0478e-05
24,39.0147,1.12309,2.21234,1.53769,0.74442,0.65,0.85529,0.61925,1.68118,1.23329,1.38556,2.11379e-05,2.11379e-05,2.11379e-05
25,40.2324,0.83384,1.46826,1.2101,0.71121,0.65763,0.85534,0.61104,1.68139,1.27541,1.38523,2.17741e-05,2.17741e-05,2.17741e-05
26,41.437,1.15577,1.86057,1.45051,0.71121,0.65763,0.85534,0.61104,1.68139,1.27541,1.38523,2.23869e-05,2.23869e-05,2.23869e-05
27,42.719,0.9166,1.66928,1.3966,0.7037,0.66921,0.85545,0.61336,1.7024,1.30434,1.40012,2.2976e-05,2.2976e-05,2.2976e-05
28,43.9171,0.80305,1.24237,1.14179,0.7037,0.66921,0.85545,0.61336,1.7024,1.30434,1.40012,2.35417e-05,2.35417e-05,2.35417e-05
29,45.1161,0.99784,1.52766,1.27209,0.70024,0.67263,0.85543,0.61078,1.67135,1.31168,1.37981,2.40837e-05,2.40837e-05,2.40837e-05
30,46.3133,1.26557,2.34451,1.59837,0.70024,0.67263,0.85543,0.61078,1.67135,1.31168,1.37981,2.46022e-05,2.46022e-05,2.46022e-05
31,47.5498,0.97673,1.43246,1.29241,0.68806,0.66667,0.85203,0.60885,1.68112,1.3485,1.38539,2.50971e-05,2.50971e-05,2.50971e-05
32,48.7448,0.81117,1.25999,1.21259,0.68806,0.66667,0.85203,0.60885,1.68112,1.3485,1.38539,2.55685e-05,2.55685e-05,2.55685e-05
33,49.9421,0.78886,1.31382,1.3518,0.67028,0.69047,0.85231,0.60726,1.66681,1.38088,1.38153,2.60163e-05,2.60163e-05,2.60163e-05
34,51.1284,1.05625,1.25031,1.30957,0.67028,0.69047,0.85231,0.60726,1.66681,1.38088,1.38153,2.64405e-05,2.64405e-05,2.64405e-05
35,52.3396,0.88838,2.16554,1.30414,0.66251,0.7,0.85257,0.59108,1.68068,1.41657,1.39241,2.68412e-05,2.68412e-05,2.68412e-05
36,53.5351,0.96603,1.48367,1.2026,0.66251,0.7,0.85257,0.59108,1.68068,1.41657,1.39241,2.72183e-05,2.72183e-05,2.72183e-05
37,54.7613,0.78315,1.12096,1.17371,0.64261,0.7,0.85235,0.58344,1.65355,1.44863,1.37595,2.75718e-05,2.75718e-05,2.75718e-05
38,55.9652,0.45923,0.70837,0.96956,0.64261,0.7,0.85235,0.58344,1.65355,1.44863,1.37595,2.79018e-05,2.79018e-05,2.79018e-05
39,57.2124,0.63582,0.9415,1.01574,0.67697,0.69078,0.85226,0.56169,1.62359,1.4762,1.36613,2.82082e-05,2.82082e-05,2.82082e-05
40,58.4195,0.79593,0.83709,1.16365,0.67697,0.69078,0.85226,0.56169,1.62359,1.4762,1.36613,2.84911e-05,2.84911e-05,2.84911e-05
41,59.6699,0.76261,0.92771,1.06553,0.68068,0.66897,0.76907,0.48784,1.59368,1.48758,1.35804,2.87504e-05,2.87504e-05,2.87504e-05
42,60.8774,0.88381,1.88931,1.28,0.68068,0.66897,0.76907,0.48784,1.59368,1.48758,1.35804,2.89861e-05,2.89861e-05,2.89861e-05
